run,duration_ms,tx_hash,gas_used
1,120.066,0xe2e63da4a5ef41228ae704b66f80a8d6ec522704f086596b7ca43e1826f5b6f5,95538
2,73.112,0xb1ad48506e4e4842048ccfe24e33e5e858008ab550f9fd2a21df782e8fdac73b,78438
3,58.642,0x309224713e07c40b28c5f09e731f3f2d6510fff0fe4e40ba371dfb798429e36f,78438
4,51.037,0x9a8ceefa6af975cd9211505b2ac9989aff4a9f5bf525d8aa099b9c1117de05bb,78438
5,58.089,0x92386105ba19a46c143a185e157a9f824cacdfd912a6c96ed95dc9bea8531704,78438
6,54.233,0xf757c178258fad1ea3dd667374fe8b85d563cb999c3a0003cffeae6709f38b87,78438
7,45.483,0x0ea94ba9977bd1e5b2620e277968c6dc294100f9439f184c548b3914a7c8596e,78438
8,51.533,0x932135d9af3e833bdb35a0c5be101513273e2a0e8357be8dff9957a857fa5a03,78438
9,43.555,0x2b4a2e734dbae1c96af5c7f2d7914a10d35d36047ce86c022ec1f55e50f05811,78438
10,48.577,0x5662a6ecff85414ba6e74993a083f6001e54d2dba5c449ba49c6cb4005806a10,78438
11,46.282,0x9c7fff619fda9312eb4fe7d04f6330be25968910393bf23de8fe05758de76383,78438
12,62.586,0x30bd65cad7a6e8721a94977d6379c8025ac25bf1f59e1779a0aa33c861b07bd4,78438
13,49.039,0xb8bdba5089cc451038fe3aef85b2277f1a4cd07c7b7762e807220ea0ee04ad59,78438
14,47.492,0xe6c014c14630ab53a47937b227fed78da2b9d3808c0bff08d7ef55cf5a8363cb,78438
15,46.314,0x871382db7e85d33809edde236d41ae90110468cfb0946ff7a1132e53a079bfa0,78438
16,50.174,0x6f2040bd83f6061b1a7b4bda4fcf001b113d518d661121728829201b135a317e,78438
17,49.574,0x67e687fa0260bfec74e3ae107afcef8fa60df04592158b2b3d68c4f8406beca4,78438
18,54.500,0x15de0b952007d4080953a21962fc756ef495714b33a88f3b9b488735125ac33d,78438
19,46.660,0x3b6b0140e67ce42ff52a903c40646ee637fbd45fb375580e408f25ac7809c893,78438
20,59.736,0x7aaa6afc956e7a984a22013bb46c27d77d5dff2156636eba7b097bae25ef580d,78438
