run,bytes,duration_ms,throughput_MBps,cid
1,318,97.416,0.003113,QmRh3fCVx3AuedwpND6TRKpZKVo9TdbtK8cjNDxP9d7TS3
2,318,14.235,0.021304,QmRh3fCVx3AuedwpND6TRKpZKVo9TdbtK8cjNDxP9d7TS3
3,318,14.911,0.020339,QmRh3fCVx3AuedwpND6TRKpZKVo9TdbtK8cjNDxP9d7TS3
4,318,12.443,0.024372,QmRh3fCVx3AuedwpND6TRKpZKVo9TdbtK8cjNDxP9d7TS3
5,318,12.814,0.023667,QmRh3fCVx3AuedwpND6TRKpZKVo9TdbtK8cjNDxP9d7TS3
6,318,12.264,0.024729,QmRh3fCVx3AuedwpND6TRKpZKVo9TdbtK8cjNDxP9d7TS3
7,318,11.389,0.026628,QmRh3fCVx3AuedwpND6TRKpZKVo9TdbtK8cjNDxP9d7TS3
8,318,11.751,0.025807,QmRh3fCVx3AuedwpND6TRKpZKVo9TdbtK8cjNDxP9d7TS3
9,318,14.548,0.020846,QmRh3fCVx3AuedwpND6TRKpZKVo9TdbtK8cjNDxP9d7TS3
10,318,14.221,0.021325,QmRh3fCVx3AuedwpND6TRKpZKVo9TdbtK8cjNDxP9d7TS3
11,318,12.668,0.023939,QmRh3fCVx3AuedwpND6TRKpZKVo9TdbtK8cjNDxP9d7TS3
12,318,14.332,0.021160,QmRh3fCVx3AuedwpND6TRKpZKVo9TdbtK8cjNDxP9d7TS3
13,318,13.702,0.022132,QmRh3fCVx3AuedwpND6TRKpZKVo9TdbtK8cjNDxP9d7TS3
14,318,11.623,0.026093,QmRh3fCVx3AuedwpND6TRKpZKVo9TdbtK8cjNDxP9d7TS3
15,318,11.806,0.025688,QmRh3fCVx3AuedwpND6TRKpZKVo9TdbtK8cjNDxP9d7TS3
16,318,11.825,0.025646,QmRh3fCVx3AuedwpND6TRKpZKVo9TdbtK8cjNDxP9d7TS3
17,318,11.077,0.027378,QmRh3fCVx3AuedwpND6TRKpZKVo9TdbtK8cjNDxP9d7TS3
18,318,11.902,0.025482,QmRh3fCVx3AuedwpND6TRKpZKVo9TdbtK8cjNDxP9d7TS3
19,318,11.154,0.027190,QmRh3fCVx3AuedwpND6TRKpZKVo9TdbtK8cjNDxP9d7TS3
20,318,11.176,0.027134,QmRh3fCVx3AuedwpND6TRKpZKVo9TdbtK8cjNDxP9d7TS3
