run,duration_ms,signature
1,20.053,0x35e608ba5b3f76381800f6e0385ef965d8c35d9d10b15935539ab70822885d995aa7094a390f0f5c9728daad77ba68baac6a52444737232ea35ad99fa99e576c1c
2,11.539,0x35e608ba5b3f76381800f6e0385ef965d8c35d9d10b15935539ab70822885d995aa7094a390f0f5c9728daad77ba68baac6a52444737232ea35ad99fa99e576c1c
3,13.925,0x35e608ba5b3f76381800f6e0385ef965d8c35d9d10b15935539ab70822885d995aa7094a390f0f5c9728daad77ba68baac6a52444737232ea35ad99fa99e576c1c
4,8.228,0x35e608ba5b3f76381800f6e0385ef965d8c35d9d10b15935539ab70822885d995aa7094a390f0f5c9728daad77ba68baac6a52444737232ea35ad99fa99e576c1c
5,8.090,0x35e608ba5b3f76381800f6e0385ef965d8c35d9d10b15935539ab70822885d995aa7094a390f0f5c9728daad77ba68baac6a52444737232ea35ad99fa99e576c1c
6,7.777,0x35e608ba5b3f76381800f6e0385ef965d8c35d9d10b15935539ab70822885d995aa7094a390f0f5c9728daad77ba68baac6a52444737232ea35ad99fa99e576c1c
7,7.606,0x35e608ba5b3f76381800f6e0385ef965d8c35d9d10b15935539ab70822885d995aa7094a390f0f5c9728daad77ba68baac6a52444737232ea35ad99fa99e576c1c
8,8.308,0x35e608ba5b3f76381800f6e0385ef965d8c35d9d10b15935539ab70822885d995aa7094a390f0f5c9728daad77ba68baac6a52444737232ea35ad99fa99e576c1c
9,8.132,0x35e608ba5b3f76381800f6e0385ef965d8c35d9d10b15935539ab70822885d995aa7094a390f0f5c9728daad77ba68baac6a52444737232ea35ad99fa99e576c1c
10,8.185,0x35e608ba5b3f76381800f6e0385ef965d8c35d9d10b15935539ab70822885d995aa7094a390f0f5c9728daad77ba68baac6a52444737232ea35ad99fa99e576c1c
11,7.596,0x35e608ba5b3f76381800f6e0385ef965d8c35d9d10b15935539ab70822885d995aa7094a390f0f5c9728daad77ba68baac6a52444737232ea35ad99fa99e576c1c
12,7.947,0x35e608ba5b3f76381800f6e0385ef965d8c35d9d10b15935539ab70822885d995aa7094a390f0f5c9728daad77ba68baac6a52444737232ea35ad99fa99e576c1c
13,9.156,0x35e608ba5b3f76381800f6e0385ef965d8c35d9d10b15935539ab70822885d995aa7094a390f0f5c9728daad77ba68baac6a52444737232ea35ad99fa99e576c1c
14,7.799,0x35e608ba5b3f76381800f6e0385ef965d8c35d9d10b15935539ab70822885d995aa7094a390f0f5c9728daad77ba68baac6a52444737232ea35ad99fa99e576c1c
15,13.318,0x35e608ba5b3f76381800f6e0385ef965d8c35d9d10b15935539ab70822885d995aa7094a390f0f5c9728daad77ba68baac6a52444737232ea35ad99fa99e576c1c
16,7.838,0x35e608ba5b3f76381800f6e0385ef965d8c35d9d10b15935539ab70822885d995aa7094a390f0f5c9728daad77ba68baac6a52444737232ea35ad99fa99e576c1c
17,6.868,0x35e608ba5b3f76381800f6e0385ef965d8c35d9d10b15935539ab70822885d995aa7094a390f0f5c9728daad77ba68baac6a52444737232ea35ad99fa99e576c1c
18,6.848,0x35e608ba5b3f76381800f6e0385ef965d8c35d9d10b15935539ab70822885d995aa7094a390f0f5c9728daad77ba68baac6a52444737232ea35ad99fa99e576c1c
19,6.107,0x35e608ba5b3f76381800f6e0385ef965d8c35d9d10b15935539ab70822885d995aa7094a390f0f5c9728daad77ba68baac6a52444737232ea35ad99fa99e576c1c
20,7.516,0x35e608ba5b3f76381800f6e0385ef965d8c35d9d10b15935539ab70822885d995aa7094a390f0f5c9728daad77ba68baac6a52444737232ea35ad99fa99e576c1c
